rank,artist,song,year
1,Faith Hill,Breathe,2000
2,Santana feat. Rob Thomas,Smooth,2000
3,Santana feat. The Product GandB,Maria Maria,2000
4,Joe,I Wanna Know,2000
5,Vertical Horizon,Everything You Want,2000
6,Destiny’s Child,Say My Name,2000
7,Savage Garden,I Knew I Loved You,2000
8,Lonestar,Amazed,2000
9,matchbox twenty,Bent,2000
10,Toni Braxton,He Wasn’t Man Enough,2000
11,Creed,Higher,2000
12,Aaliyah,Try Again,2000
13,Destiny’s Child,Jumpin Jumpin’,2000
14,Sisqo,Thong Song,2000
15,3 Doors Down,Kryptonite,2000
16,Pink,There You Go,2000
17,Madonna,Music,2000
18,Janet,Doesn’t Really Matter,2000
19,Christina Aguilera,What A Girl Wants,2000
20,Brian McKnight,Back At One,2000
21,‘N Sync,Bye Bye Bye,2000
22,Marc Anthony,You Sang To Me,2000
23,Marc Anthony,I Need To Know,2000
24,Montell Jordan,Get It On Tonite,2000
25,Sisqo,Incomplete,2000
26,Macy Gray,I Try,2000
27,‘N Sync,It’s Gonna Be Me,2000
28,Celine Dion,That’s The Way It Is,2000
29,Nelly,(Hot S**T) Country Grammar,2000
30,Blaque,Bring It All To Me,2000
31,Backstreet Boys,Show Me The Meaning Of Being Lonely,2000
32,"Missy Elliott feat. Nas, EVE and Q-Tip",Hot Boyz,2000
33,BBMak,Back Here,2000
34,Sonique,It Feels So Good,2000
35,Nine Days,Absolutely (Story Of A Girl),2000
36,Creed,With Arms Wide Open,2000
37,Enrique Iglesias,Be With You,2000
38,Christina Aguilera,Come On Over Baby (All I Want Is You),2000
39,Ruff Endz,No More,2000
40,Blink 182,All The Small Things,2000
41,Faith Hill,The Way You Love Me,2000
42,Christina Aguilera,I Turn To You,2000
43,Third Eye Blind,Never Let You Go,2000
44,LeAnn Rimes,I Need You,2000
45,Mariah Carey feat. Joe and 98 Degrees,Thank God I Found You,2000
46,Jagged Edge,Let’s Get Married,2000
47,Whitney Houston,My Love Is Your Love,2000
48,Smash Mouth,Then The Morning Comes,2000
49,iffel 65,Blue (Da Ba Dee),2000
50,Sting feat. Cheb Mami,Desert Rose,2000
51,Eminem,The Real Slim Shady,2000
52,Pink,Most Girls,2000
53,Next,Wifey,2000
54,Everclear,Wonderful,2000
55,Britney Spears,Oops!… I Did It Again,2000
56,Jessica Simpson,I Wanna Love You Forever,2000
57,98 Degrees,Give Me Just One Night (Una Noche ),2000
58,Filter,Take A Picture,2000
59,Red Hot Chili Peppers,Otherside,2000
60,Jay-Z feat. UGK,Big Pimpin’,2000
61,Son By Four,Purest Of Pain (A Puro Dolor),2000
62,Jagged Edge,He Can’t Love U,2000
63,Avant,Separated,2000
64,Carl Thomas,I Wish,2000
65,Donell Jones,U Know What’s Up,2000
66,SoulDecision feat. Thrust,Faded,2000
67,Kid Rock,Only God Knows Why,2000
68,Mystikal,Shake Ya Ass,2000
69,Erykah Badu,Bag Lady,2000
70,Train,Meet Virginia,2000
71,DMX,Party Up (Up In Here),2000
72,Mya,Case Of The Ex (Whatcha Gonna Do),2000
73,Dr. Dre feat. Eminem,Forget About Dre,2000
74,Jo Dee Messina,That’s The Way,2000
75,Westlife,Swear It Again,2000
76,Dr. Dre feat. Snoop Dogg,The Next Episode,2000
77,Britney Spears,From The Bottom Of My Broken Heart,2000
78,Savage Garden,Crash And Burn,2000
79,Chad Brock,Yes!,2000
80,George Strait,The Best Day,2000
81,Donell Jones,Where I Wanna Be,2000
82,Toby Keith,How Do You Like Me Now?!,2000
83,Tim McGraw,My Best Friend,2000
84,Goo Goo Dolls,Broadway,2000
85,Da Brat feat. Tyrese,What’chu Like,2000
86,Kandi,Don’t Think I’m Not,2000
87,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2000
88,Alice Deejay,Better Off Alone,2000
89,Debelah Morgan,Dance With Me,2000
90,Lonestar,What About Now,2000
91,Sammie,I Like It,2000
92,Kevon Edmonds,24/7,2000
93,LFO,Girl On TV,2000
94,Lil Bow Wow feat. Xscape,Bounce With Me,2000
95,Dixie Chicks,Cowboy Take Me Away,2000
96,Aaliyah,I Don’t Wanna,2000
97,Destiny’s Child,Independent Women Part I,2000
98,Samantha Mumba,Gotta Tell You,2000
99,Jennifer Lopez,Waiting For Tonight,2000
100,Mary Mary,Shackles (Praise You),2000
1,Lifehouse,Hanging By A Moment,2001
2,Alicia Keys,Fallin’,2001
3,Janet,All For You,2001
4,Train,Drops Of Jupiter (Tell Me),2001
5,Jennifer Lopez feat. Ja Rule,I’m Real,2001
6,matchbox twenty,If You’re Gone,2001
7,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,2001
8,Dido,Thank You,2001
9,Lenny Kravitz,Again,2001
10,Destiny’s Child,Independent Women Part I,2001
11,Blu Cantrell,Hit ‘Em Up Style (Oops!),2001
12,Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,2001
13,Joe feat. Mystikal,Stutter,2001
14,Staind,It’s Been Awhile,2001
15,Usher,U Remind Me,2001
16,Jagged Edge With Nelly,Where The Party At,2001
17,Shaggy feat. Rayvon,Angel,2001
18,Nelly feat. City Spud,Ride Wit Me,2001
19,Uncle Kracker,Follow Me,2001
20,112,Peaches & Cream,2001
21,Incubus,Drive,2001
22,City High,What Would You Do?,2001
23,Destiny’s Child,Survivor,2001
24,"Christina Aguilera, Lil’ Kim, Mya and Pink",Lady Marmalade,2001
25,Outkast,Ms. Jackson,2001
26,Jennifer Lopez,Love Don’t Cost A Thing,2001
27,Faith Hill,The Way You Love Me,2001
28,Dream,He Loves U Not,2001
29,Crazy Town,Butterfly,2001
30,Ja Rule feat. Lil’ Mo and Vita,Put It On Me,2001
31,Mary J. Blige,Family Affair,2001
32,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2001
33,Moby feat. Gwen Stefani,South Side,2001
34,Madonna,Don’t Tell Me,2001
35,Missy “Misdemeanor” Elliott,Get Ur Freak On,2001
36,K-Ci and JoJo,Crazy,2001
37,Craig David,Fill Me In,2001
38,Janet,Someone To Call My Lover,2001
39,Creed,With Arms Wide Open,2001
40,Mya,Case Of The Ex (Whatcha Gonna Do),2001
41,O-Town,All Or Nothing,2001
42,Destiny’s Child,Bootylicious,2001
43,Nelly Furtado,I’m Like A Bird,2001
44,3 Doors Down,Kryptonite,2001
45,R. Kelly feat. Jay-Z,Fiesta,2001
46,Sugar Ray,When It’s Over,2001
47,Aerosmith,Jaded,2001
48,Jagged Edge,Promise,2001
49,Case,Missing You,2001
50,Ginuwine,Differences,2001
51,‘N Sync,This I Promise You,2001
52,Jay-Z,Izzo (H.O.V.A.),2001
53,Lil’ Mo feat. Fabolous,Superwoman Pt. II,2001
54,Evan And Jaron,Crazy For This Girl,2001
55,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely,2001
56,Jay-Z,I Just Wanna Love U (Give It 2 Me),2001
57,Missy “Misdemeanor” Elliott,One Minute Man,2001
58,Mystikal feat. Nivea,Danger (Been So Long),2001
59,Enya,Only Time,2001
60,Toya,I Do!!,2001
61,S Club 7,Never Had A Dream Come True,2001
62,Tamia,Stranger In My House,2001
63,Jessica Simpson,Irresistible,2001
64,Sunshine Anderson,Heard It All Before,2001
65,Dave Matthews Band,The Space Between,2001
66,Faith Hill,There You’ll Be,2001
67,Musiq Soulchild,Love,2001
68,112,It’s Over Now,2001
69,3LW,No More (Baby I’ma Do Right),2001
70,Nelly Furtado,Turn Off The Light,2001
71,Brooks and Dunn,Ain’t Nothing `Bout You,2001
72,Jennifer Lopez,Play,2001
73,Lonestar,I’m Already There,2001
74,Lil’ Romeo,My Baby,2001
75,U2,Beautiful Day,2001
76,Blake Shelton,Austin,2001
77,Ludacris,Southern Hospitality,2001
78,Tim McGraw,Grown Men Don’t Cry,2001
79,Ja Rule feat. Case,Livin’ It Up,2001
